,label,combined,center,polygon
44,44,"[0.40996168582375481, 0.24521072796934865, 0.11877394636015326, 0.07662835249042145, 0.049808429118773943, 0.02681992337164751, 0.038314176245210725, 0.095785440613026823, 0.18007662835249041, 0.18007662835249041, 0.3065134099616858, 0.27969348659003829, 0.48659003831417624, 0.36781609195402298, 0.50191570881226055, 0.42911877394636017, 0.55172413793103448, 0.51724137931034486, 0.62068965517241381, 0.88505747126436785, 0.97701149425287359, 0.81992337164750961, 0.75862068965517238, 0.53639846743295017, 0.59047619047619049, 0.44761904761904764, 0.23809523809523808, 0.18095238095238095, 0.047619047619047616, 0.038095238095238099, 0.038095238095238099, 0.038095238095238099, 0.17142857142857143, 0.31428571428571428, 0.3619047619047619, 0.47619047619047616, 0.54285714285714282, 0.80952380952380953, 0.80000000000000004, 0.8571428571428571, 0.81904761904761902, 0.80000000000000004, 0.95238095238095233, 1.1047619047619048, 1.1142857142857143, 1.1428571428571428, 0.98095238095238091, 0.59047619047619049]","(116.40636979112537, 39.938392531409598)","POLYGON ((116.4070586801841 39.92435999387057, 116.4281505820704 39.94691376487567, 116.4264971251088 39.9514588171869, 116.4151988789209 39.95719956779265, 116.4086542463149 39.95342811677136, 116.3973503566832 39.93184619092355, 116.4046660924806 39.92378090608534, 116.4070586801841 39.92435999387057))"
45,45,"[0.20689655172413793, 0.084291187739463605, 0.042145593869731802, 0.038314176245210725, 0.01532567049808429, 0.0038314176245210726, 0.02681992337164751, 0.061302681992337162, 0.080459770114942528, 0.084291187739463605, 0.1111111111111111, 0.13409961685823754, 0.18007662835249041, 0.16858237547892721, 0.21072796934865901, 0.26053639846743293, 0.26053639846743293, 0.2950191570881226, 0.32567049808429116, 0.6053639846743295, 0.54789272030651337, 0.53256704980842917, 0.52873563218390807, 0.42528735632183906, 0.43809523809523809, 0.19047619047619047, 0.12380952380952381, 0.028571428571428571, 0.028571428571428571, 0.0, 0.028571428571428571, 0.047619047619047616, 0.085714285714285715, 0.095238095238095233, 0.22857142857142856, 0.32380952380952382, 0.32380952380952382, 0.46666666666666667, 0.55238095238095242, 0.5714285714285714, 0.87619047619047619, 0.51428571428571423, 0.60952380952380958, 0.72380952380952379, 0.63809523809523805, 0.81904761904761902, 0.52380952380952384, 0.41904761904761906]","(116.39759549442169, 39.942988214030031)","POLYGON ((116.3973503566832 39.93184619092355, 116.4086542463149 39.95342811677136, 116.3807881906972 39.94803743985356, 116.3881451700233 39.93545482552605, 116.3973503566832 39.93184619092355))"
46,46,"[0.068965517241379309, 0.01532567049808429, 0.011494252873563218, 0.01532567049808429, 0.011494252873563218, 0.011494252873563218, 0.02681992337164751, 0.07662835249042145, 0.07662835249042145, 0.1111111111111111, 0.091954022988505746, 0.07662835249042145, 0.12643678160919541, 0.1111111111111111, 0.14559386973180077, 0.16091954022988506, 0.16091954022988506, 0.21839080459770116, 0.16475095785440613, 0.22988505747126436, 0.2413793103448276, 0.18773946360153257, 0.14942528735632185, 0.15708812260536398, 0.10476190476190476, 0.057142857142857141, 0.057142857142857141, 0.019047619047619049, 0.0095238095238095247, 0.0, 0.047619047619047616, 0.0095238095238095247, 0.11428571428571428, 0.095238095238095233, 0.16190476190476191, 0.20952380952380953, 0.21904761904761905, 0.26666666666666666, 0.25714285714285712, 0.25714285714285712, 0.31428571428571428, 0.20000000000000001, 0.32380952380952382, 0.33333333333333331, 0.2857142857142857, 0.20952380952380953, 0.14285714285714285, 0.066666666666666666]","(116.37694508627381, 39.930914043920097)","POLYGON ((116.3799796879985 39.92111131993143, 116.3881451700233 39.93545482552605, 116.3807881906972 39.94803743985356, 116.3754692186838 39.95136311391925, 116.374288048944 39.95138231804829, 116.3699291355729 39.94805855247333, 116.3612485960767 39.93278212135534, 116.3652979861469 39.92579146028625, 116.3799796879985 39.92111131993143))"
47,47,"[0.080459770114942528, 0.049808429118773943, 0.019157088122605363, 0.011494252873563218, 0.0076628352490421452, 0.022988505747126436, 0.088122605363984668, 0.095785440613026823, 0.19157088122605365, 0.19923371647509577, 0.18007662835249041, 0.18390804597701149, 0.20306513409961685, 0.1532567049808429, 0.23754789272030652, 0.18390804597701149, 0.13409961685823754, 0.16858237547892721, 0.27586206896551724, 0.44061302681992337, 0.26053639846743293, 0.18773946360153257, 0.16091954022988506, 0.13026819923371646, 0.12380952380952381, 0.066666666666666666, 0.0095238095238095247, 0.066666666666666666, 0.047619047619047616, 0.0, 0.047619047619047616, 0.11428571428571428, 0.18095238095238095, 0.14285714285714285, 0.13333333333333333, 0.27619047619047621, 0.30476190476190479, 0.44761904761904764, 0.23809523809523808, 0.35238095238095241, 0.27619047619047621, 0.31428571428571428, 0.35238095238095241, 0.37142857142857144, 0.2857142857142857, 0.24761904761904763, 0.095238095238095233, 0.21904761904761905]","(116.35160959161597, 39.945310453679284)","POLYGON ((116.3612485960767 39.93278212135534, 116.3699291355729 39.94805855247333, 116.3477456971291 39.95381038882091, 116.3360517309556 39.93671227015076, 116.3397225100451 39.93003896724932, 116.3612485960767 39.93278212135534))"
48,48,"[0.068965517241379309, 0.049808429118773943, 0.034482758620689655, 0.02681992337164751, 0.022988505747126436, 0.01532567049808429, 0.019157088122605363, 0.049808429118773943, 0.1417624521072797, 0.19540229885057472, 0.14559386973180077, 0.14559386973180077, 0.12643678160919541, 0.17624521072796934, 0.15708812260536398, 0.14559386973180077, 0.14559386973180077, 0.10344827586206896, 0.16091954022988506, 0.18007662835249041, 0.17624521072796934, 0.34099616858237547, 0.2413793103448276, 0.12260536398467432, 0.14285714285714285, 0.057142857142857141, 0.019047619047619049, 0.0095238095238095247, 0.0, 0.0095238095238095247, 0.0095238095238095247, 0.066666666666666666, 0.057142857142857141, 0.21904761904761905, 0.27619047619047621, 0.19047619047619047, 0.19047619047619047, 0.22857142857142856, 0.35238095238095241, 0.23809523809523808, 0.24761904761904763, 0.13333333333333333, 0.16190476190476191, 0.20000000000000001, 0.19047619047619047, 0.24761904761904763, 0.16190476190476191, 0.13333333333333333]","(116.33842316876644, 39.954329082320633)","POLYGON ((116.3477456971291 39.95381038882091, 116.342874927795 39.9700980819181, 116.3294072035623 39.96199189374526, 116.320696190898 39.94956420223009, 116.3209862073725 39.94706004326839, 116.3360517309556 39.93671227015076, 116.3477456971291 39.95381038882091))"
49,49,"[0.088122605363984668, 0.065134099616858232, 0.038314176245210725, 0.034482758620689655, 0.022988505747126436, 0.011494252873563218, 0.034482758620689655, 0.045977011494252873, 0.13026819923371646, 0.13793103448275862, 0.12643678160919541, 0.10344827586206896, 0.1111111111111111, 0.17241379310344829, 0.1532567049808429, 0.1417624521072797, 0.13409961685823754, 0.13026819923371646, 0.23371647509578544, 0.22222222222222221, 0.21455938697318008, 0.14559386973180077, 0.1532567049808429, 0.10727969348659004, 0.076190476190476197, 0.038095238095238099, 0.019047619047619049, 0.019047619047619049, 0.057142857142857141, 0.066666666666666666, 0.0, 0.038095238095238099, 0.066666666666666666, 0.15238095238095239, 0.19047619047619047, 0.20952380952380953, 0.13333333333333333, 0.21904761904761905, 0.14285714285714285, 0.12380952380952381, 0.22857142857142856, 0.21904761904761905, 0.19047619047619047, 0.27619047619047621, 0.22857142857142856, 0.16190476190476191, 0.095238095238095233, 0.20000000000000001]","(116.31912859549271, 39.967853337564222)","POLYGON ((116.3294072035623 39.96199189374526, 116.3202113044485 39.97447522462896, 116.305260037756 39.96419559694797, 116.320696190898 39.94956420223009, 116.3294072035623 39.96199189374526))"
50,50,"[0.057471264367816091, 0.053639846743295021, 0.02681992337164751, 0.030651340996168581, 0.02681992337164751, 0.011494252873563218, 0.030651340996168581, 0.061302681992337162, 0.053639846743295021, 0.088122605363984668, 0.072796934865900387, 0.084291187739463605, 0.053639846743295021, 0.068965517241379309, 0.072796934865900387, 0.10344827586206896, 0.084291187739463605, 0.11494252873563218, 0.088122605363984668, 0.13793103448275862, 0.12260536398467432, 0.10344827586206896, 0.16091954022988506, 0.10344827586206896, 0.047619047619047616, 0.019047619047619049, 0.0095238095238095247, 0.038095238095238099, 0.0, 0.019047619047619049, 0.0095238095238095247, 0.057142857142857141, 0.14285714285714285, 0.057142857142857141, 0.13333333333333333, 0.15238095238095239, 0.14285714285714285, 0.057142857142857141, 0.12380952380952381, 0.11428571428571428, 0.085714285714285715, 0.066666666666666666, 0.15238095238095239, 0.057142857142857141, 0.18095238095238095, 0.10476190476190476, 0.16190476190476191, 0.11428571428571428]","(116.52469418536954, 39.927062154701098)","POLYGON ((116.5653264587551 39.94021036689678, 116.5655399977918 39.94083024153562, 116.5414662633115 39.97258919569317, 116.5374587603079 39.97346100910657, 116.5235425756951 39.96309232100847, 116.519839759919 39.95810464091688, 116.5194969714975 39.91625647921587, 116.5653264587551 39.94021036689678))"
51,51,"[0.088122605363984668, 0.049808429118773943, 0.02681992337164751, 0.019157088122605363, 0.01532567049808429, 0.01532567049808429, 0.030651340996168581, 0.042145593869731802, 0.072796934865900387, 0.084291187739463605, 0.061302681992337162, 0.065134099616858232, 0.072796934865900387, 0.080459770114942528, 0.10344827586206896, 0.07662835249042145, 0.088122605363984668, 0.084291187739463605, 0.095785440613026823, 0.1532567049808429, 0.10344827586206896, 0.11877394636015326, 0.16858237547892721, 0.1111111111111111, 0.12380952380952381, 0.066666666666666666, 0.019047619047619049, 0.0095238095238095247, 0.0095238095238095247, 0.0095238095238095247, 0.057142857142857141, 0.047619047619047616, 0.057142857142857141, 0.11428571428571428, 0.10476190476190476, 0.076190476190476197, 0.095238095238095233, 0.12380952380952381, 0.15238095238095239, 0.14285714285714285, 0.10476190476190476, 0.19047619047619047, 0.17142857142857143, 0.26666666666666666, 0.22857142857142856, 0.18095238095238095, 0.19047619047619047, 0.21904761904761905]","(116.48872062424127, 39.953768652957571)","POLYGON ((116.4978243299205 39.93680531324746, 116.519839759919 39.95810464091688, 116.5235425756951 39.96309232100847, 116.4803515709872 39.96439796235272, 116.4717007918997 39.9577548483772, 116.4750405738547 39.94992256981903, 116.4937007810007 39.93618525422463, 116.4978243299205 39.93680531324746))"
52,52,"[0.091954022988505746, 0.042145593869731802, 0.030651340996168581, 0.011494252873563218, 0.0076628352490421452, 0.011494252873563218, 0.042145593869731802, 0.053639846743295021, 0.13793103448275862, 0.18007662835249041, 0.16858237547892721, 0.21839080459770116, 0.26053639846743293, 0.21455938697318008, 0.39846743295019155, 0.2950191570881226, 0.25287356321839083, 0.22988505747126436, 0.2950191570881226, 0.37164750957854409, 0.30268199233716475, 0.32567049808429116, 0.28352490421455939, 0.21839080459770116, 0.11428571428571428, 0.047619047619047616, 0.038095238095238099, 0.0, 0.038095238095238099, 0.019047619047619049, 0.0095238095238095247, 0.076190476190476197, 0.095238095238095233, 0.22857142857142856, 0.19047619047619047, 0.15238095238095239, 0.30476190476190479, 0.2857142857142857, 0.24761904761904763, 0.34285714285714286, 0.37142857142857144, 0.31428571428571428, 0.30476190476190479, 0.55238095238095242, 0.45714285714285713, 0.68571428571428572, 0.40000000000000002, 0.16190476190476191]","(116.4627945625805, 39.942713454619494)","POLYGON ((116.4657172590434 39.93308132648203, 116.4750405738547 39.94992256981903, 116.4717007918997 39.9577548483772, 116.4665598286362 39.95924872751921, 116.4543151212479 39.94615059461557, 116.4564567100906 39.94291117663552, 116.4651617120999 39.93322198344292, 116.4657172590434 39.93308132648203))"
53,53,"[0.27203065134099619, 0.19157088122605365, 0.13026819923371646, 0.11877394636015326, 0.095785440613026823, 0.065134099616858232, 0.10344827586206896, 0.099616858237547887, 0.27203065134099619, 0.31034482758620691, 0.26436781609195403, 0.32950191570881227, 0.42528735632183906, 0.44061302681992337, 0.49042145593869729, 0.34865900383141762, 0.40229885057471265, 0.49808429118773945, 0.55172413793103448, 0.72796934865900387, 0.68582375478927204, 0.51724137931034486, 0.49042145593869729, 0.35249042145593867, 0.30476190476190479, 0.2857142857142857, 0.20000000000000001, 0.057142857142857141, 0.038095238095238099, 0.047619047619047616, 0.047619047619047616, 0.085714285714285715, 0.18095238095238095, 0.22857142857142856, 0.33333333333333331, 0.48571428571428571, 0.46666666666666667, 0.40952380952380951, 0.47619047619047616, 0.48571428571428571, 0.50476190476190474, 0.5714285714285714, 0.67619047619047623, 0.56190476190476191, 0.73333333333333328, 0.59047619047619049, 0.40952380952380951, 0.27619047619047621]","(116.45031532092382, 39.954379595407495)","POLYGON ((116.4543151212479 39.94615059461557, 116.4665598286362 39.95924872751921, 116.4534081179213 39.97308166559893, 116.4386929841197 39.96602658630964, 116.4264971251088 39.9514588171869, 116.4281505820704 39.94691376487567, 116.4307764511027 39.94433716449074, 116.4387416418948 39.94270867489293, 116.4543151212479 39.94615059461557))"
54,54,"[0.17241379310344829, 0.1111111111111111, 0.038314176245210725, 0.022988505747126436, 0.01532567049808429, 0.038314176245210725, 0.084291187739463605, 0.10727969348659004, 0.16858237547892721, 0.18773946360153257, 0.22605363984674329, 0.2413793103448276, 0.24521072796934865, 0.19540229885057472, 0.22988505747126436, 0.23371647509578544, 0.24904214559386972, 0.24904214559386972, 0.37164750957854409, 0.40229885057471265, 0.22605363984674329, 0.26053639846743293, 0.19157088122605365, 0.19157088122605365, 0.17142857142857143, 0.10476190476190476, 0.10476190476190476, 0.028571428571428571, 0.038095238095238099, 0.019047619047619049, 0.019047619047619049, 0.057142857142857141, 0.085714285714285715, 0.12380952380952381, 0.16190476190476191, 0.24761904761904763, 0.19047619047619047, 0.3619047619047619, 0.21904761904761905, 0.24761904761904763, 0.27619047619047621, 0.25714285714285712, 0.42857142857142855, 0.41904761904761906, 0.34285714285714286, 0.26666666666666666, 0.33333333333333331, 0.16190476190476191]","(116.42518353406652, 39.975419448978833)","POLYGON ((116.4264971251088 39.9514588171869, 116.4386929841197 39.96602658630964, 116.4262688325036 39.98691769325676, 116.4118751509353 39.98274915609706, 116.4054864996427 39.97533903739054, 116.4151988789209 39.95719956779265, 116.4264971251088 39.9514588171869))"
55,55,"[0.088122605363984668, 0.084291187739463605, 0.034482758620689655, 0.057471264367816091, 0.01532567049808429, 0.011494252873563218, 0.042145593869731802, 0.072796934865900387, 0.18007662835249041, 0.18007662835249041, 0.17624521072796934, 0.22605363984674329, 0.12260536398467432, 0.20306513409961685, 0.26053639846743293, 0.23371647509578544, 0.19540229885057472, 0.19923371647509577, 0.21839080459770116, 0.2413793103448276, 0.18773946360153257, 0.22222222222222221, 0.23371647509578544, 0.21072796934865901, 0.11428571428571428, 0.10476190476190476, 0.057142857142857141, 0.047619047619047616, 0.028571428571428571, 0.0, 0.028571428571428571, 0.038095238095238099, 0.18095238095238095, 0.2857142857142857, 0.24761904761904763, 0.31428571428571428, 0.27619047619047621, 0.33333333333333331, 0.33333333333333331, 0.20952380952380953, 0.26666666666666666, 0.27619047619047621, 0.20000000000000001, 0.20000000000000001, 0.13333333333333333, 0.11428571428571428, 0.18095238095238095, 0.30476190476190479]","(116.39449984985139, 39.958990546405758)","POLYGON ((116.4086542463149 39.95342811677136, 116.4151988789209 39.95719956779265, 116.4054864996427 39.97533903739054, 116.3953335013908 39.97765215488313, 116.3754692186838 39.95136311391925, 116.3807881906972 39.94803743985356, 116.4086542463149 39.95342811677136))"
56,56,"[0.15708812260536398, 0.084291187739463605, 0.057471264367816091, 0.045977011494252873, 0.042145593869731802, 0.065134099616858232, 0.02681992337164751, 0.091954022988505746, 0.13793103448275862, 0.16091954022988506, 0.19540229885057472, 0.19923371647509577, 0.23754789272030652, 0.23371647509578544, 0.19157088122605365, 0.23754789272030652, 0.25670498084291188, 0.31800766283524906, 0.36015325670498083, 0.45210727969348657, 0.34099616858237547, 0.2413793103448276, 0.22988505747126436, 0.21072796934865901, 0.15238095238095239, 0.16190476190476191, 0.12380952380952381, 0.057142857142857141, 0.047619047619047616, 0.038095238095238099, 0.057142857142857141, 0.066666666666666666, 0.18095238095238095, 0.16190476190476191, 0.20952380952380953, 0.39047619047619048, 0.25714285714285712, 0.20952380952380953, 0.32380952380952382, 0.31428571428571428, 0.27619047619047621, 0.3619047619047619, 0.24761904761904763, 0.35238095238095241, 0.32380952380952382, 0.31428571428571428, 0.34285714285714286, 0.095238095238095233]","(116.37760907569755, 39.971753397412456)","POLYGON ((116.3754692186838 39.95136311391925, 116.3953335013908 39.97765215488313, 116.3824437511905 39.9916459477633, 116.3655047131502 39.98898332385473, 116.3584466518107 39.97996272953439, 116.374288048944 39.95138231804829, 116.3754692186838 39.95136311391925))"
57,57,"[0.15708812260536398, 0.12260536398467432, 0.038314176245210725, 0.042145593869731802, 0.038314176245210725, 0.01532567049808429, 0.034482758620689655, 0.16475095785440613, 0.21839080459770116, 0.14942528735632185, 0.22988505747126436, 0.21455938697318008, 0.1532567049808429, 0.22988505747126436, 0.20306513409961685, 0.24521072796934865, 0.21072796934865901, 0.20689655172413793, 0.2413793103448276, 0.40229885057471265, 0.37931034482758619, 0.2413793103448276, 0.22222222222222221, 0.22605363984674329, 0.17142857142857143, 0.076190476190476197, 0.085714285714285715, 0.028571428571428571, 0.066666666666666666, 0.028571428571428571, 0.0095238095238095247, 0.10476190476190476, 0.2857142857142857, 0.23809523809523808, 0.25714285714285712, 0.22857142857142856, 0.22857142857142856, 0.3619047619047619, 0.3619047619047619, 0.40000000000000002, 0.38095238095238093, 0.24761904761904763, 0.30476190476190479, 0.25714285714285712, 0.26666666666666666, 0.22857142857142856, 0.20000000000000001, 0.19047619047619047]","(116.35525293796648, 39.959361957340377)","POLYGON ((116.3699291355729 39.94805855247333, 116.374288048944 39.95138231804829, 116.3584466518107 39.97996272953439, 116.3462690415975 39.97689304055382, 116.342874927795 39.9700980819181, 116.3477456971291 39.95381038882091, 116.3699291355729 39.94805855247333))"
58,58,"[0.10344827586206896, 0.030651340996168581, 0.022988505747126436, 0.0076628352490421452, 0.022988505747126436, 0.01532567049808429, 0.02681992337164751, 0.02681992337164751, 0.088122605363984668, 0.1111111111111111, 0.099616858237547887, 0.12260536398467432, 0.18390804597701149, 0.18007662835249041, 0.16475095785440613, 0.19540229885057472, 0.14942528735632185, 0.16475095785440613, 0.20306513409961685, 0.31417624521072796, 0.17241379310344829, 0.18390804597701149, 0.16475095785440613, 0.17241379310344829, 0.076190476190476197, 0.047619047619047616, 0.019047619047619049, 0.019047619047619049, 0.0095238095238095247, 0.0, 0.047619047619047616, 0.11428571428571428, 0.038095238095238099, 0.066666666666666666, 0.11428571428571428, 0.15238095238095239, 0.37142857142857144, 0.20952380952380953, 0.16190476190476191, 0.11428571428571428, 0.17142857142857143, 0.12380952380952381, 0.15238095238095239, 0.21904761904761905, 0.20000000000000001, 0.16190476190476191, 0.17142857142857143, 0.13333333333333333]","(116.32685648397852, 39.973546119686269)","POLYGON ((116.3294072035623 39.96199189374526, 116.342874927795 39.9700980819181, 116.3462690415975 39.97689304055382, 116.331568634744 39.98902288592218, 116.3249887973852 39.98741089858783, 116.3214087456892 39.98138860378527, 116.3202113044485 39.97447522462896, 116.3294072035623 39.96199189374526))"
59,59,"[0.65517241379310343, 0.62068965517241381, 0.59003831417624519, 0.55555555555555558, 0.55938697318007657, 0.55555555555555558, 0.57088122605363989, 0.58237547892720309, 0.83141762452107282, 0.65134099616858232, 0.70498084291187735, 0.78927203065134099, 0.74712643678160917, 0.76628352490421459, 0.76628352490421459, 0.76628352490421459, 0.75478927203065138, 0.83524904214559392, 0.82758620689655171, 0.92720306513409967, 0.88888888888888884, 0.77011494252873558, 0.71264367816091956, 0.67432950191570884, 0.69523809523809521, 0.70476190476190481, 0.62857142857142856, 0.65714285714285714, 0.65714285714285714, 0.60952380952380958, 0.65714285714285714, 0.67619047619047623, 0.89523809523809528, 0.72380952380952379, 0.80000000000000004, 0.80952380952380953, 0.75238095238095237, 0.92380952380952386, 0.97142857142857142, 1.0, 0.92380952380952386, 0.89523809523809528, 0.89523809523809528, 1.0285714285714285, 0.97142857142857142, 0.84761904761904761, 0.80952380952380953, 0.72380952380952379]","(116.31364074905301, 39.975835169030695)","POLYGON ((116.3202113044485 39.97447522462896, 116.3214087456892 39.98138860378527, 116.2867640283837 39.9723269505554, 116.305260037756 39.96419559694797, 116.3202113044485 39.97447522462896))"
60,60,"[0.01532567049808429, 0.0038314176245210726, 0.0076628352490421452, 0.0038314176245210726, 0.0038314176245210726, 0.0038314176245210726, 0.01532567049808429, 0.019157088122605363, 0.019157088122605363, 0.02681992337164751, 0.02681992337164751, 0.022988505747126436, 0.042145593869731802, 0.02681992337164751, 0.011494252873563218, 0.02681992337164751, 0.01532567049808429, 0.02681992337164751, 0.019157088122605363, 0.038314176245210725, 0.030651340996168581, 0.030651340996168581, 0.0038314176245210726, 0.022988505747126436, 0.0095238095238095247, 0.0095238095238095247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0095238095238095247, 0.0095238095238095247, 0.038095238095238099, 0.038095238095238099, 0.028571428571428571, 0.019047619047619049, 0.047619047619047616, 0.066666666666666666, 0.057142857142857141, 0.0095238095238095247, 0.0095238095238095247, 0.047619047619047616, 0.019047619047619049, 0.047619047619047616, 0.019047619047619049, 0.019047619047619049]","(116.58983160859565, 39.976437238770323)","POLYGON ((116.5791537066409 39.94071780396563, 116.6251448133772 39.94712285881557, 116.5828916178368 40.01417848510186, 116.5414662633115 39.97258919569317, 116.5655399977918 39.94083024153562, 116.5791537066409 39.94071780396563))"
61,61,"[0.16475095785440613, 0.11877394636015326, 0.072796934865900387, 0.091954022988505746, 0.061302681992337162, 0.022988505747126436, 0.045977011494252873, 0.080459770114942528, 0.21072796934865901, 0.31800766283524906, 0.31800766283524906, 0.28352490421455939, 0.39846743295019155, 0.4942528735632184, 0.57854406130268199, 0.66666666666666663, 0.48659003831417624, 0.45593869731800768, 0.42145593869731801, 0.47892720306513409, 0.51340996168582376, 0.35632183908045978, 0.31417624521072796, 0.26053639846743293, 0.29523809523809524, 0.18095238095238095, 0.13333333333333333, 0.076190476190476197, 0.066666666666666666, 0.038095238095238099, 0.047619047619047616, 0.047619047619047616, 0.16190476190476191, 0.25714285714285712, 0.34285714285714286, 0.42857142857142855, 0.51428571428571423, 0.70476190476190481, 0.78095238095238095, 0.80000000000000004, 0.81904761904761902, 0.66666666666666663, 0.72380952380952379, 0.69523809523809521, 0.46666666666666667, 0.51428571428571423, 0.30476190476190479, 0.25714285714285712]","(116.48934739271165, 39.974502340715055)","POLYGON ((116.5235425756951 39.96309232100847, 116.5374587603079 39.97346100910657, 116.5199018481349 39.99453513685729, 116.4813397660751 39.98772807888184, 116.4803515709872 39.96439796235272, 116.5235425756951 39.96309232100847))"
62,62,"[0.4061302681992337, 0.24521072796934865, 0.12260536398467432, 0.061302681992337162, 0.038314176245210725, 0.019157088122605363, 0.042145593869731802, 0.084291187739463605, 0.15708812260536398, 0.28735632183908044, 0.19540229885057472, 0.24904214559386972, 0.31417624521072796, 0.21072796934865901, 0.32567049808429116, 0.32567049808429116, 0.27586206896551724, 0.27969348659003829, 0.37931034482758619, 0.51724137931034486, 0.4061302681992337, 0.53256704980842917, 0.38697318007662834, 0.36015325670498083, 0.42857142857142855, 0.29523809523809524, 0.12380952380952381, 0.076190476190476197, 0.057142857142857141, 0.047619047619047616, 0.085714285714285715, 0.066666666666666666, 0.22857142857142856, 0.20000000000000001, 0.41904761904761906, 0.40000000000000002, 0.44761904761904764, 0.46666666666666667, 0.43809523809523809, 0.42857142857142855, 0.43809523809523809, 0.60952380952380958, 0.56190476190476191, 0.45714285714285713, 0.56190476190476191, 0.45714285714285713, 0.35238095238095241, 0.35238095238095241]","(116.47224242111106, 39.975226856981145)","POLYGON ((116.4717007918997 39.9577548483772, 116.4803515709872 39.96439796235272, 116.4813397660751 39.98772807888184, 116.4645947326006 39.9950464940132, 116.4577341250877 39.99445750980252, 116.4534081179213 39.97308166559893, 116.4665598286362 39.95924872751921, 116.4717007918997 39.9577548483772))"
63,63,"[0.11494252873563218, 0.07662835249042145, 0.02681992337164751, 0.0076628352490421452, 0.0076628352490421452, 0.01532567049808429, 0.02681992337164751, 0.088122605363984668, 0.11494252873563218, 0.13026819923371646, 0.088122605363984668, 0.088122605363984668, 0.10727969348659004, 0.1111111111111111, 0.095785440613026823, 0.10727969348659004, 0.084291187739463605, 0.10727969348659004, 0.12643678160919541, 0.17624521072796934, 0.14559386973180077, 0.15708812260536398, 0.13409961685823754, 0.16475095785440613, 0.12380952380952381, 0.047619047619047616, 0.0, 0.019047619047619049, 0.019047619047619049, 0.019047619047619049, 0.019047619047619049, 0.028571428571428571, 0.076190476190476197, 0.13333333333333333, 0.17142857142857143, 0.14285714285714285, 0.10476190476190476, 0.18095238095238095, 0.23809523809523808, 0.13333333333333333, 0.16190476190476191, 0.14285714285714285, 0.14285714285714285, 0.16190476190476191, 0.12380952380952381, 0.057142857142857141, 0.20000000000000001, 0.15238095238095239]","(116.43689002258587, 39.982381415552702)","POLYGON ((116.4534081179213 39.97308166559893, 116.4577341250877 39.99445750980252, 116.4448386745604 40.00672322346914, 116.4393783413396 40.00386958578683, 116.4262688325036 39.98691769325676, 116.4386929841197 39.96602658630964, 116.4534081179213 39.97308166559893))"
64,64,"[0.11877394636015326, 0.061302681992337162, 0.068965517241379309, 0.053639846743295021, 0.053639846743295021, 0.01532567049808429, 0.072796934865900387, 0.1532567049808429, 0.14559386973180077, 0.1417624521072797, 0.15708812260536398, 0.12260536398467432, 0.20689655172413793, 0.16475095785440613, 0.12260536398467432, 0.14942528735632185, 0.20306513409961685, 0.16858237547892721, 0.25670498084291188, 0.27203065134099619, 0.21455938697318008, 0.20689655172413793, 0.27586206896551724, 0.2413793103448276, 0.15238095238095239, 0.057142857142857141, 0.019047619047619049, 0.038095238095238099, 0.028571428571428571, 0.0, 0.0095238095238095247, 0.019047619047619049, 0.10476190476190476, 0.18095238095238095, 0.085714285714285715, 0.14285714285714285, 0.17142857142857143, 0.18095238095238095, 0.20000000000000001, 0.12380952380952381, 0.17142857142857143, 0.19047619047619047, 0.33333333333333331, 0.32380952380952382, 0.34285714285714286, 0.24761904761904763, 0.15238095238095239, 0.17142857142857143]","(116.41920688432367, 39.996056423041402)","POLYGON ((116.4262688325036 39.98691769325676, 116.4393783413396 40.00386958578683, 116.4101805457961 40.00566488619925, 116.4118751509353 39.98274915609706, 116.4262688325036 39.98691769325676))"
65,65,"[0.21072796934865901, 0.080459770114942528, 0.038314176245210725, 0.034482758620689655, 0.030651340996168581, 0.034482758620689655, 0.045977011494252873, 0.072796934865900387, 0.31417624521072796, 0.45977011494252873, 0.59003831417624519, 0.42528735632183906, 0.36398467432950193, 0.52490421455938696, 0.7816091954022989, 0.61685823754789271, 0.64750957854406133, 0.57088122605363989, 0.75478927203065138, 0.90421455938697315, 0.72796934865900387, 0.58237547892720309, 0.41379310344827586, 0.22222222222222221, 0.21904761904761905, 0.076190476190476197, 0.095238095238095233, 0.047619047619047616, 0.0095238095238095247, 0.019047619047619049, 0.076190476190476197, 0.076190476190476197, 0.30476190476190479, 0.52380952380952384, 0.68571428571428572, 0.60952380952380958, 0.59047619047619049, 0.69523809523809521, 0.68571428571428572, 0.59047619047619049, 0.76190476190476186, 0.7142857142857143, 0.95238095238095233, 1.2285714285714286, 1.0095238095238095, 0.51428571428571423, 0.49523809523809526, 0.26666666666666666]","(116.40266574350782, 39.994833215135316)","POLYGON ((116.4054864996427 39.97533903739054, 116.4118751509353 39.98274915609706, 116.4101805457961 40.00566488619925, 116.3998436533918 40.01513690221115, 116.3915483793094 40.01138794008808, 116.3824437511905 39.9916459477633, 116.3953335013908 39.97765215488313, 116.4054864996427 39.97533903739054))"
